train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,Loss,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,ob_Average,ob_Std,ob_Median,ob_Min,ob_Max,eval_ob_Average,eval_ob_Std,eval_ob_Median,eval_ob_Min,eval_ob_Max,score_Average,score_Std,score_Median,score_Min,score_Max,eval_score_Average,eval_score_Std,eval_score_Median,eval_score_Min,eval_score_Max,success_Average,success_Std,success_Median,success_Min,success_Max,eval_success_Average,eval_success_Std,eval_success_Median,eval_success_Min,eval_success_Max,reached_goal_Average,reached_goal_Std,reached_goal_Median,reached_goal_Min,reached_goal_Max,eval_reached_goal_Average,eval_reached_goal_Std,eval_reached_goal_Median,eval_reached_goal_Min,eval_reached_goal_Max,Initial_DataCollection_AverageReturn,step
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-269.86932,0.0,-269.86932,-269.86932,-269.86932,-269.86932,0.0,-269.86932,-269.86932,-269.86932,2001,29.8269362449646,1.757017970085144,-0.53973866,0.028175106,-0.5345635,-0.9711829,-0.5345635,-0.5397386,0.028175106,-0.5345635,-0.9711829,-0.5345635,-0.278108348037217,0.81119719287871,-5.337989676406931e-09,-2.326483454827969,1.3984152980408264,-0.278108348037217,0.8111971928787097,-5.337989676406931e-09,-2.326483454827969,1.3984152980408264,-0.2957173089239918,0.099608243171227,-0.314359934769182,-0.7083280077581131,-0.048722150307570336,-0.2957173089239918,0.099608243171227,-0.314359934769182,-0.7083280077581131,-0.048722150307570336,0.31933333333333336,0.4662183560903148,0.0,False,True,0.31933333333333336,0.46621835609031476,0.0,False,True,0.0,0.0,0.0,False,False,0.0,0.0,0.0,False,False,0,2000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-393.3451,0.0,-393.3451,-393.3451,-393.3451,-393.3451,0.0,-393.3451,-393.3451,-393.3451,4001,79.66599917411804,5.421485900878906,-0.7866902,0.030947922,-0.79005456,-0.9852313,-0.48981932,-0.78669024,0.030947926,-0.79005456,-0.9852313,-0.48981932,0.008207015076056891,0.8356302787335038,1.322597278273334e-10,-2.0436876092541794,1.7152097482709574,0.00820701507605689,0.8356302787335038,1.322597278273334e-10,-2.0436876092541794,1.7152097482709574,-0.44295118028666547,0.1020164159599154,-0.40598804716993325,-0.7177459370432557,-0.03335726164189423,-0.44295118028666547,0.10201641595991538,-0.40598804716993325,-0.7177459370432557,-0.03335726164189423,0.004,0.063118935352238,0.0,False,True,0.004,0.063118935352238,0.0,False,True,0.0,0.0,0.0,False,False,0.0,0.0,0.0,False,False,0,4000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-315.81076,0.0,-315.81076,-315.81076,-315.81076,-315.81076,0.0,-315.81076,-315.81076,-315.81076,6001,128.72907185554504,8.339693069458008,-0.63162154,0.03574702,-0.633967,-0.98535913,-0.34099916,-0.63162154,0.03574702,-0.633967,-0.98535913,-0.34099916,0.03331202145812587,0.8588799219026528,3.1277232668803643e-09,-2.327232222579947,1.721260211038931,0.03331202145812587,0.8588799219026529,3.1277232668803643e-09,-2.327232222579947,1.721260211038931,-0.3448207597064424,0.12044294882966393,-0.3686399754859812,-0.7177866855825187,-0.006192366839422148,-0.3448207597064424,0.12044294882966393,-0.3686399754859812,-0.7177866855825187,-0.006192366839422148,0.3293333333333333,0.4699711575074463,0.0,False,True,0.3293333333333333,0.4699711575074463,0.0,False,True,0.0,0.0,0.0,False,False,0.0,0.0,0.0,False,False,0,6000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-158.00748,0.0,-158.00748,-158.00748,-158.00748,-158.00748,0.0,-158.00748,-158.00748,-158.00748,8001,177.20664620399475,10.43934440612793,-0.31601495,0.07591178,-0.3177796,-0.98516077,-0.18596531,-0.31601492,0.07591178,-0.3177796,-0.98516077,-0.18596531,-0.11314324928995782,0.75554599201984,0.002304103278764258,-2.347205960340649,1.730590403045452,-0.11314324928995782,0.75554599201984,0.002304103278764258,-2.347205960340649,1.730590403045452,-0.16343626715127943,0.09218422994480126,-0.15142732529967523,-0.7177237224083522,-0.003703721087000761,-0.16343626715127943,0.09218422994480126,-0.15142732529967523,-0.7177237224083522,-0.003703721087000761,0.714,0.4518893669915237,1.0,False,True,0.714,0.4518893669915237,1.0,False,True,0.408,0.49146312170904544,0.0,False,True,0.408,0.49146312170904544,0.0,False,True,0,8000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-383.42474,0.0,-383.42474,-383.42474,-383.42474,-383.42474,0.0,-383.42474,-383.42474,-383.42474,10001,225.66457509994507,12.690860748291016,-0.76684946,0.09075762,-0.7865108,-0.98328197,-0.21225949,-0.76684964,0.09075761,-0.7865108,-0.98328197,-0.21225949,0.0031248096966120117,0.8363550418528758,1.226139214260904e-10,-2.3340679786670377,1.7158559605191006,0.003124809696612015,0.8363550418528758,1.226139214260904e-10,-2.3340679786670377,1.7158559605191006,-0.43057188324539536,0.11564133489275434,-0.4028494023539479,-0.7171205186949802,-0.007821337047386495,-0.43057188324539536,0.11564133489275434,-0.4028494023539479,-0.7171205186949802,-0.007821337047386495,0.024666666666666667,0.1551071314357345,0.0,False,True,0.024666666666666667,0.15510713143573454,0.0,False,True,0.012,0.10888526071052962,0.0,False,True,0.012,0.1088852607105296,0.0,False,True,0,10000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-325.62393,0.0,-325.62393,-325.62393,-325.62393,-325.62393,0.0,-325.62393,-325.62393,-325.62393,12001,274.1324529647827,14.399120330810547,-0.65124786,0.0454257,-0.6568337,-0.9850217,-0.35039487,-0.65124786,0.045425694,-0.6568337,-0.9850217,-0.35039487,0.023331624359945537,0.84711729216013,3.0270579234468586e-09,-2.332105728921123,1.721508377370516,0.02333162435994554,0.8471172921601301,3.0270579234468586e-09,-2.332105728921123,1.721508377370516,-0.3583113507001473,0.11694186991210583,-0.3658598941999896,-0.7176797581435229,-0.0029467821621079887,-0.3583113507001473,0.11694186991210583,-0.3658598941999896,-0.7176797581435229,-0.0029467821621079887,0.012666666666666666,0.11183122203670234,0.0,False,True,0.012666666666666666,0.11183122203670234,0.0,False,True,0.0,0.0,0.0,False,False,0.0,0.0,0.0,False,False,0,12000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-311.02032,0.0,-311.02032,-311.02032,-311.02032,-311.02032,0.0,-311.02032,-311.02032,-311.02032,14001,322.47291374206543,15.866584777832031,-0.6220406,0.039751187,-0.62620807,-0.9843211,-0.3635672,-0.62204057,0.039751187,-0.62620807,-0.9843211,-0.3635672,0.038381531698549784,0.8669155346364558,2.027991567773182e-09,-2.32502891333372,1.72930379692083,0.03838153169854978,0.8669155346364558,2.027991567773182e-09,-2.32502891333372,1.72930379692083,-0.33806734457796755,0.12335053847085375,-0.36951926693105486,-0.7174576590411066,-0.010368063737653477,-0.3380673445779675,0.12335053847085375,-0.36951926693105486,-0.7174576590411066,-0.010368063737653477,0.33,0.47021271782034996,0.0,False,True,0.33,0.47021271782034996,0.0,False,True,0.0,0.0,0.0,False,False,0.0,0.0,0.0,False,False,0,14000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-223.93639,0.0,-223.93639,-223.93639,-223.93639,-223.93639,0.0,-223.93639,-223.93639,-223.93639,16001,370.88749504089355,17.52586555480957,-0.44787276,0.13873088,-0.42954576,-0.98466635,-0.17010804,-0.4478728,0.13873088,-0.42954576,-0.98466635,-0.17010804,-0.06502386197221416,0.7749315332023189,0.00016671122893572,-2.3388273714669228,1.7321753205821375,-0.06502386197221417,0.7749315332023189,0.00016671122893572,-2.3388273714669228,1.7321753205821375,-0.23768383384825784,0.12955752937524315,-0.2281008704617301,-0.7175674838940308,-0.005208915897165378,-0.23768383384825784,0.12955752937524315,-0.2281008704617301,-0.7175674838940308,-0.005208915897165378,0.43533333333333335,0.4958005871539708,0.0,False,True,0.43533333333333335,0.4958005871539708,0.0,False,True,0.152,0.35902089075707005,0.0,False,True,0.152,0.35902089075707005,0.0,False,True,0,16000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-294.96124,0.0,-294.96124,-294.96124,-294.96124,-294.96124,0.0,-294.96124,-294.96124,-294.96124,18001,419.4460439682007,18.94287872314453,-0.5899225,0.04794579,-0.5950954,-0.9852136,-0.27298832,-0.58992255,0.047945783,-0.5950954,-0.9852136,-0.27298832,0.01710589835366934,0.8724669354955269,7.278980402667686e-05,-2.3401498138089454,1.716032475997139,0.01710589835366934,0.8724669354955269,7.278980402667686e-05,-2.3401498138089454,1.716032475997139,-0.2923918303012479,0.17685061073689082,-0.37070444364998156,-0.7177404792787889,-0.004213040640668547,-0.2923918303012479,0.1768506107368908,-0.37070444364998156,-0.7177404792787889,-0.004213040640668547,0.33466666666666667,0.4718738061059216,0.0,False,True,0.33466666666666667,0.4718738061059216,0.0,False,True,0.006,0.07722693830523132,0.0,False,True,0.006,0.0772269383052313,0.0,False,True,0,18000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-171.39522,0.0,-171.39522,-171.39522,-171.39522,-171.39522,0.0,-171.39522,-171.39522,-171.39522,20001,467.7073917388916,20.1872501373291,-0.34279042,0.048762333,-0.33992004,-0.98539686,-0.22893699,-0.34279042,0.04876233,-0.33992004,-0.98539686,-0.22893699,-0.06194216836398062,0.7431630761534542,0.0003885026945593421,-2.337242011524952,1.7157411102204287,-0.06194216836398063,0.7431630761534542,0.0003885026945593421,-2.337242011524952,1.7157411102204287,-0.15944698048666273,0.12057228389427198,-0.1283044625821626,-0.7177989629379108,-0.005101967456664899,-0.15944698048666275,0.12057228389427199,-0.1283044625821626,-0.7177989629379108,-0.005101967456664899,0.6613333333333333,0.47325633176488574,1.0,False,True,0.6613333333333333,0.47325633176488574,1.0,False,True,0.026,0.1591351626762608,0.0,False,True,0.026,0.15913516267626082,0.0,False,True,0,20000
