train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,Loss,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,ob_Average,ob_Std,ob_Median,ob_Min,ob_Max,eval_ob_Average,eval_ob_Std,eval_ob_Median,eval_ob_Min,eval_ob_Max,score_Average,score_Std,score_Median,score_Min,score_Max,eval_score_Average,eval_score_Std,eval_score_Median,eval_score_Min,eval_score_Max,success_Average,success_Std,success_Median,success_Min,success_Max,eval_success_Average,eval_success_Std,eval_success_Median,eval_success_Min,eval_success_Max,reached_goal_Average,reached_goal_Std,reached_goal_Median,reached_goal_Min,reached_goal_Max,eval_reached_goal_Average,eval_reached_goal_Std,eval_reached_goal_Median,eval_reached_goal_Min,eval_reached_goal_Max,Initial_DataCollection_AverageReturn,step
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-391.58246,0.0,-391.58246,-391.58246,-391.58246,-327.56598,158.84348,-300.30835,-585.82074,-112.536606,4001,22.1844220161438,2.8705484867095947,-0.7831649,0.18198867,-0.8684003,-0.8687438,-0.26270795,-0.65513194,0.34877178,-0.58174014,-1.3678352,-0.14718874,-0.04057804314588792,0.875021402495983,-2.5004461008461873e-12,-2.340167390326548,1.7158894727459348,-0.05874803080550799,0.8706597922799822,-2.9263209639887975e-16,-2.380352331777274,1.7273971865699154,-0.38359533702666265,0.26142615791366886,-0.31858076450621875,-0.7910619611656489,-4.428305588637105e-05,-0.3117688393893316,0.29396156676508295,-0.22534269816631933,-1.351397085221981,-1.7776009310514762e-05,0.356,0.4788152044369519,0.0,False,True,0.4932592592592593,0.49995456034950425,0.0,False,True,0.046,0.2094850830011531,0.0,False,True,0.20977777777777779,0.4071499253695069,0.0,False,True,0,4000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-411.56738,0.0,-411.56738,-411.56738,-411.56738,-242.65324,83.793396,-261.12735,-364.12384,-112.81831,8001,87.25708055496216,8.508514404296875,-0.8231348,0.022507086,-0.8214531,-0.9240665,-0.7301847,-0.48530647,0.18218853,-0.514282,-1.1523877,-0.033900864,0.09092309614580205,0.8917226608369914,7.387812822627564e-08,-2.334523726383011,1.7380498676997265,0.077430962405216,0.8114697641243649,2.3112971284199748e-08,-2.368761578828041,1.7602102131349142,-0.3086134586543916,0.36163088649637054,-0.037906396362013824,-0.9043597919073144,-0.00024240067584957448,-0.23484717008380399,0.18552218460887124,-0.17332544612635228,-1.1516090213053927,-5.154598855350301e-05,0.6346666666666667,0.48152350813733796,1.0,False,True,0.5757777777777778,0.4942243704989281,1.0,False,True,0.0,0.0,0.0,False,False,0.20977777777777779,0.40714992536950695,0.0,False,True,0,8000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-105.23993,0.0,-105.23993,-105.23993,-105.23993,-236.93231,136.63629,-209.45065,-577.2141,-104.82193,12001,152.28366589546204,11.109596252441406,-0.21047986,0.0936998,-0.17670956,-0.66177744,-0.15446758,-0.4738646,0.28685766,-0.424768,-1.4226626,-0.089969456,0.14625182803810724,0.8494953875152778,1.4599208572683284e-09,-2.329977135125648,1.7497753893760277,0.10204541028675518,0.8485185315306372,6.686367334169506e-09,-2.3684335857593313,1.7833802176947475,-0.10217117932774886,0.08517545592584096,-0.10941970133122855,-0.5555300856188834,-4.863506782037952e-05,-0.23474868016204609,0.21718975579344293,-0.13626391914384464,-1.4210738342091054,-0.00022217361125842494,0.9333333333333333,0.24944382578492943,1.0,False,True,0.6108888888888889,0.48754861739214034,1.0,False,True,0.894,0.30783761953341576,1.0,False,True,0.23622222222222222,0.4247602664452235,0.0,False,True,0,12000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-467.56476,0.0,-467.56476,-467.56476,-467.56476,-343.69046,168.7299,-326.57306,-549.6615,-61.659397,16001,217.3035864830017,10.930500984191895,-0.9351295,0.05019246,-0.9304394,-1.2106429,-0.7606941,-0.68738085,0.34907624,-0.6498809,-1.201946,-0.05000297,-0.0247412235015603,0.8767074324186529,2.486255838953617e-10,-2.3563358276105144,1.7264763178022058,-0.021416903546250202,0.8900607620565039,-3.857571371104784e-10,-2.3687099082340253,1.7549675739010844,-0.4603041174137731,0.2836353885202548,-0.43756727344424257,-1.0711387084373656,-0.0027829744288038645,-0.32995340142287777,0.29874123837954875,-0.20469223047616356,-1.1004711002348575,-0.00010884629941446643,0.3313333333333333,0.47069263384458826,0.0,False,True,0.4762222222222222,0.49943429726436556,0.0,False,True,0.0,0.0,0.0,False,False,0.20422222222222222,0.4031321199964591,0.0,False,True,0,16000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-79.890015,0.0,-79.890015,-79.890015,-79.890015,-264.55737,139.71846,-271.5888,-566.53955,-71.49785,20001,282.821396112442,11.84671401977539,-0.15978003,0.03600756,-0.15681705,-0.41022834,-0.054980077,-0.52911466,0.28923744,-0.5185113,-1.2674955,-0.07799284,0.0961546778261153,0.804313073795656,0.0012291283025737437,-2.3625033663336215,1.7217388489065482,-0.05726115418231235,0.8306579319931862,-2.2395299798262632e-11,-2.390895760350917,1.7468695216126409,-0.08869248938630188,0.032798002529746434,-0.0964517408050368,-0.4058950634955696,-0.00024576705397043774,-0.25265108455716223,0.23952939612824498,-0.16032218703862966,-1.230370945266145,-5.157082029516591e-05,0.9926666666666667,0.08532031150643765,1.0,False,True,0.5183703703703704,0.49966241552918045,1.0,False,True,0.98,0.13999999999999996,1.0,False,True,0.31777777777777777,0.46561256611950996,0.0,False,True,0,20000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-487.45868,0.0,-487.45868,-487.45868,-487.45868,-228.616,166.91179,-169.26181,-654.85925,-89.99782,24001,348.21833634376526,12.730958938598633,-0.97491735,0.17245302,-1.0318168,-1.0655814,-0.114345014,-0.457232,0.34110448,-0.31842774,-1.3933699,-0.085630536,-0.25426486507507823,0.8586285229199145,-0.010423123121362631,-2.3447120998686124,1.7270558017522963,-0.037054534149533254,0.827243393968394,7.891200811459025e-11,-2.3770920837789835,1.7424032858779626,-0.4097244859943847,0.39857306505360246,-0.17201582595586373,-1.0458928030286665,-0.00020928064391334544,-0.21664301531124194,0.2480663694676642,-0.1594798742882973,-1.3718070492218575,-0.0002533058823214994,0.6713333333333333,0.46972852679913835,1.0,False,True,0.5891851851851851,0.4919817097651946,1.0,False,True,0.028,0.1649727250184102,0.0,False,True,0.41644444444444445,0.4929690346622214,0.0,False,True,0,24000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-296.13684,0.0,-296.13684,-296.13684,-296.13684,-320.7833,126.3318,-348.19128,-471.94354,-108.547905,28001,413.43792819976807,13.854391098022461,-0.59227365,0.06375602,-0.5635371,-0.79051334,-0.55010337,-0.6415666,0.26425663,-0.7303091,-1.0450287,-0.08861581,-0.2560220543916501,0.8331610886451288,-9.594629159970543e-05,-2.362134725467896,1.6354707326287943,-0.11442235232456484,0.8389674853889154,-3.6405792909140045e-18,-2.365066391796566,1.7487119173153423,-0.23373547771744987,0.2522935470971555,-0.0686834651253942,-0.7849089946015556,-0.00048451902718731066,-0.29994479978348954,0.26554255021805456,-0.18901184580997055,-1.0048966458075541,-6.323455804280176e-05,0.6466666666666666,0.47800511387315603,1.0,False,True,0.5112592592592593,0.4998732130059908,1.0,False,True,0.0,0.0,0.0,False,False,0.19644444444444445,0.3973084754839218,0.0,False,True,0,28000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-141.34433,0.0,-141.34433,-141.34433,-141.34433,-239.4369,137.17772,-179.45831,-582.19104,-111.94385,32001,478.54250860214233,16.396312713623047,-0.28268865,0.1630869,-0.22733364,-0.9434007,-0.11718933,-0.47887382,0.28564817,-0.36143863,-1.5614736,-0.08230828,-0.07151941351611826,0.7756885453344113,2.5387236590536925e-05,-2.3541534595864277,1.7289986916356361,-0.07121500588752852,0.8828438708147828,1.6002336170247792e-16,-2.407081781571958,1.7350920862261376,-0.133753621343654,0.13271539680447117,-0.15480660915891267,-0.9125704221909093,-0.00021293347427242537,-0.22478073353816636,0.23046031320252952,-0.15016686726900402,-1.485559708852528,-5.324323382660534e-05,0.9126666666666666,0.28232290417573674,1.0,False,True,0.654074074074074,0.4756691914537,1.0,False,True,0.848,0.35902089075707,1.0,False,True,0.4026666666666667,0.4904347277897663,0.0,False,True,0,32000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-211.27669,0.0,-211.27669,-211.27669,-211.27669,-206.58408,63.52759,-214.56256,-299.62057,-85.22598,36001,543.1085886955261,15.294198989868164,-0.42255336,0.048076227,-0.41501758,-0.72004694,-0.3481084,-0.4131682,0.14025223,-0.43254957,-0.8536243,-0.03565918,-0.31466548355481866,0.9740152574925026,-5.756711165340306e-16,-2.3518296351825825,1.6519885248342787,-0.2514788214114542,0.9538599240630065,-3.183653483501375e-16,-2.39363231162633,1.7361295896796678,-0.239242921996297,0.055230317451685995,-0.21815195879928395,-0.5710819594673715,-0.003044420411495774,-0.20524414159887727,0.14606295057351681,-0.17181978579975643,-0.7623428621900937,-0.0006029666382935117,0.04133333333333333,0.1990600132846597,0.0,False,True,0.5565925925925926,0.49678695480421864,1.0,False,True,0.0,0.0,0.0,False,False,0.22088888888888888,0.4148457395880076,0.0,False,True,0,36000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-416.13055,0.0,-416.13055,-416.13055,-416.13055,-188.97374,116.66842,-190.27216,-479.75635,-56.31726,40001,607.0954370498657,14.723331451416016,-0.8322611,0.049274832,-0.79806626,-1.0199558,-0.75314176,-0.37794748,0.25088787,-0.34156626,-1.2073053,-0.06356344,-0.07699231385151922,0.8472929563597904,1.0203409071796912e-08,-2.370844938416045,1.574779169065749,-0.031133097119177066,0.8711144994035881,-8.60499370627006e-16,-2.3839952688318267,1.7721770958013474,-0.35402456625403805,0.326132060075344,-0.1379487001786664,-0.9043013379783067,-8.920715627992737e-05,-0.1823856910224316,0.1879675428609634,-0.1419216334784627,-1.0172425876309088,-6.100475960696405e-06,0.576,0.494190246767376,1.0,False,True,0.6488888888888888,0.47731760785187055,1.0,False,True,0.0,0.0,0.0,False,False,0.32133333333333336,0.4669884604807941,0.0,False,True,0,40000
