train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,Training Loss,Training Loss2,Q Predictions,Q Predictions2,Q Targets,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,ob_Average,ob_Std,ob_Median,ob_Min,ob_Max,eval_ob_Average,eval_ob_Std,eval_ob_Median,eval_ob_Min,eval_ob_Max,score_Average,score_Std,score_Median,score_Min,score_Max,eval_score_Average,eval_score_Std,eval_score_Median,eval_score_Min,eval_score_Max,success_Average,success_Std,success_Median,success_Min,success_Max,eval_success_Average,eval_success_Std,eval_success_Median,eval_success_Min,eval_success_Max,reached_goal_Average,reached_goal_Std,reached_goal_Median,reached_goal_Min,reached_goal_Max,eval_reached_goal_Average,eval_reached_goal_Std,eval_reached_goal_Median,eval_reached_goal_Min,eval_reached_goal_Max,Initial_DataCollection_AverageReturn,step
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-359.36823,0.0,-359.36823,-359.36823,-359.36823,-353.32645,12.336431,-352.08405,-380.9989,-337.7305,2001,11.078180313110352,0.00139409,0.001191,-1.0022933,-1.0133686,-0.9954945,-0.71873647,0.25311852,-0.69805574,-1.4542817,-0.20264718,-0.7066529,0.2916397,-0.69370115,-1.7474434,-0.09258471,-0.1682273202787771,0.8638855220789844,-8.319194077362284e-06,-2.3289495713694466,1.723740278439604,-0.17352763686207892,0.8652578948560502,-1.5496104457656225e-05,-2.349602404701009,1.7503755978317035,-0.34488524613218297,0.2731382461085906,-0.26690524437612717,-1.2599956508447667,-0.003167957634585661,-0.33778365965243373,0.28408837738645304,-0.24138439134873355,-1.5685478669036543,-0.00042908074186681633,0.43333333333333335,0.49553562491061687,0.0,False,True,0.45266666666666666,0.4977545133452388,0.0,False,True,0.03,0.1705872210923198,0.0,False,True,0.07177777777777777,0.2581196009509191,0.0,False,True,0,2000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-504.2979,0.0,-504.2979,-504.2979,-504.2979,-499.49576,18.628061,-503.43005,-524.74963,-469.19836,4001,36.286818504333496,0.0060660234,0.004937399,-2.61323,-2.6062062,-2.575207,-1.0085958,0.33225387,-1.0099895,-2.081176,-0.336099,-0.99899155,0.34644094,-0.96838427,-2.0186923,-0.1701201,0.00476228688908549,0.74828838592795,1.3131473170372872e-05,-1.7562926365726672,1.7709477246574046,0.0024715113399269993,0.7470745296900226,1.5521539040671592e-05,-1.8306027391361126,1.8138722883655418,-0.49641018352008387,0.3598097023249783,-0.3695972835005471,-1.8913597755129206,-0.0002922163335874455,-0.4940475284784451,0.35858821156586895,-0.36990225184321945,-1.9656871574346522,-8.414063007100223e-05,0.15466666666666667,0.3615866270880173,0.0,False,True,0.15088888888888888,0.3579405426865829,0.0,False,True,0.0,0.0,0.0,False,False,0.004222222222222222,0.06484130675524974,0.0,False,True,0,4000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-441.71033,0.0,-441.71033,-441.71033,-441.71033,-367.33643,64.72615,-390.53943,-430.85706,-258.7425,6001,61.2833833694458,0.0064693084,0.005672769,-3.3841333,-3.4159727,-3.3975513,-0.88342065,0.28572097,-0.87839496,-1.6195986,-0.2311844,-0.73467284,0.32255322,-0.7103331,-2.0914834,-0.10748883,-0.07247335577142786,0.6991824241706089,9.916137101387832e-05,-2.283253870023505,1.7503840882579083,-0.05971584267778018,0.7788461618515365,7.320760375730761e-06,-2.343666806474467,1.7843447194871476,-0.4323810982490456,0.3168639628389026,-0.3383352275030258,-1.6161090845080732,-0.001944089951969043,-0.3599352173147484,0.2916189012541557,-0.28293800961235305,-1.960815158305211,-9.293235128671196e-05,0.238,0.42585913163862055,0.0,False,True,0.3413333333333333,0.4741570297790479,0.0,False,True,0.008,0.08908422980528033,0.0,False,True,0.06933333333333333,0.25402012168767696,0.0,False,True,0,6000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-283.89325,0.0,-283.89325,-283.89325,-283.89325,-304.0097,36.1469,-293.963,-402.15808,-276.07556,8001,86.21139311790466,0.011167157,0.015581667,-4.101085,-4.121233,-4.0753217,-0.5677865,0.26765314,-0.5338988,-1.3683466,-0.07042473,-0.60801935,0.30278456,-0.5770217,-1.8787937,-0.04071283,0.15213756208061718,0.8963310532912602,9.488310730377506e-05,-2.333992595559991,1.7226739731125895,0.13406333098262127,0.8873745985036526,7.321273512202864e-05,-2.3669266038047425,1.7520088065595174,-0.25771571752955574,0.25479894316784135,-0.16331015633156873,-1.3135805047245541,-0.00018632752293945565,-0.27724790861074805,0.2773486567202832,-0.16577747027283973,-1.8435712656079677,-4.598414175660537e-05,0.5593333333333333,0.4964670739893589,1.0,False,True,0.5519259259259259,0.4972963887026884,1.0,False,True,0.17,0.375632799419859,0.0,False,True,0.17,0.375632799419859,0.0,False,True,0,8000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-344.53818,0.0,-344.53818,-344.53818,-344.53818,-343.54184,13.19621,-345.585,-362.20972,-314.17307,10001,111.14443325996399,0.03168146,0.028155364,-4.818035,-4.831625,-4.812522,-0.68907636,0.25363964,-0.6520794,-1.3872579,-0.16866116,-0.68708366,0.2919439,-0.6325698,-1.8658259,-0.17466827,-0.17201407373311914,0.7873358332431819,-0.00039419277416150055,-2.3545447253793745,1.7375291557466936,-0.17282234078312,0.7875659558612278,-0.0003365337044873134,-2.3741809962314266,1.7588465932527808,-0.34958806402059733,0.23980814773487136,-0.2928228296647399,-1.2897325128353367,-0.0002194015876476607,-0.3451957330237374,0.25809229557252217,-0.28583239076979633,-1.8376764299402657,-2.3342736085729676e-05,0.254,0.4352975993501457,0.0,False,True,0.27770370370370373,0.44786644957280425,0.0,False,True,0.03,0.1705872210923198,0.0,False,True,0.029555555555555557,0.16935768270544452,0.0,False,True,0,10000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-339.9756,0.0,-339.9756,-339.9756,-339.9756,-357.62024,11.585909,-355.18942,-384.42996,-342.26123,12001,136.11009860038757,0.017952897,0.021313678,-5.6619225,-5.665706,-5.628209,-0.6799512,0.3383102,-0.64466226,-1.6351297,-0.11629159,-0.71524054,0.33337468,-0.67331123,-1.8422757,-0.037371818,-0.1054801469718508,0.8166117068386087,-4.0210104154253686e-05,-2.366034261058029,1.7329687284872677,-0.126107138734589,0.8205941833321052,-4.098423669108299e-05,-2.376110673567909,1.7943045185528237,-0.3206871682123677,0.29903547336778535,-0.23022920338649056,-1.56164386022245,-0.00018711131505602663,-0.3395691259055435,0.3037467047836092,-0.2423175543440484,-1.7368220443763684,-0.00011686498395557798,0.4666666666666667,0.49888765156985887,0.0,False,True,0.42837037037037035,0.4948425973571011,0.0,False,True,0.142,0.3490501396647765,0.0,False,True,0.092,0.289025950392002,0.0,False,True,0,12000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-533.86597,0.0,-533.86597,-533.86597,-533.86597,-505.59045,13.946763,-508.66583,-525.2785,-478.55597,14001,161.04152965545654,0.07190395,0.07224149,-6.136562,-6.170617,-6.195348,-1.067732,0.35436645,-1.0841264,-1.9132295,-0.2954441,-1.011181,0.32637364,-0.99238336,-2.2115257,-0.19215946,0.2394990092663057,0.7372254748123808,0.00038026124934322826,-1.7666069571758798,1.7365351551308814,0.23884212810243222,0.7374899031061617,0.00045036188621413943,-2.0082138025494167,1.75372015255598,-0.529084555618471,0.37675616550188623,-0.39621503771461586,-1.88334785492873,-0.0063036181654771845,-0.5039153993552226,0.34986394268543675,-0.3935141554680731,-2.124947391678067,-0.0006359512286886054,0.13666666666666666,0.3434951075181259,0.0,False,True,0.15585185185185185,0.36271483582313013,0.0,False,True,0.002,0.044676615807377355,0.0,False,True,0.0017777777777777779,0.04212620661714769,0.0,False,True,0,14000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-474.17862,0.0,-474.17862,-474.17862,-474.17862,-491.16086,14.023344,-497.46204,-503.76138,-457.90042,16001,186.0244927406311,0.051336877,0.04025014,-6.9939213,-7.006103,-7.061683,-0.9483572,0.31800106,-0.9420526,-1.7169933,-0.3292791,-0.98232174,0.3463974,-0.9710434,-2.368366,-0.10816967,0.2784117829062633,0.7090698213288172,0.0003608123516276899,-2.0613806706243865,1.7259728015866587,0.2800782875595197,0.7095660050040805,0.00039159896728204434,-2.0769697490409023,1.764693348029221,-0.47195692396909766,0.3328043787524738,-0.3818306011362588,-1.6637181651545747,-0.00045916507061793954,-0.48958324775720985,0.3492238356545362,-0.3834549070529861,-2.193719165863579,-0.0002285319731812497,0.182,0.38584452827531457,0.0,False,True,0.17066666666666666,0.37621743122236584,0.0,False,True,0.0,0.0,0.0,False,False,0.0071111111111111115,0.0840270385642416,0.0,False,True,0,16000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-268.04376,0.0,-268.04376,-268.04376,-268.04376,-293.37195,9.17102,-291.3507,-306.2197,-278.9393,18001,209.44936561584473,0.054053042,0.059738122,-7.4580746,-7.3866234,-7.4883614,-0.5360875,0.29487768,-0.47703773,-1.5355145,-0.07948534,-0.5867439,0.28827494,-0.5677154,-1.8113371,-0.031501856,0.15370438125456135,0.8995983631125789,6.127135875861315e-05,-2.3323588652143723,1.7598997231571654,0.15301285078963203,0.9021030338424455,7.871001293128103e-05,-2.3899472614741253,1.751249462879471,-0.23837014245154095,0.2606924946778511,-0.1373051980335127,-1.53185980969499,-0.0005430841851363638,-0.2642963119127711,0.26945203269773743,-0.15318662150091264,-1.6271621007815673,-5.7557457884716e-05,0.616,0.4863578929142613,1.0,False,True,0.567925925925926,0.4953645814822711,1.0,False,True,0.206,0.4044304637388237,0.0,False,True,0.17422222222222222,0.37930046072496776,0.0,False,True,0,18000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-275.53738,0.0,-275.53738,-275.53738,-275.53738,-288.17593,15.072461,-282.26175,-320.46756,-268.43695,20001,232.42100524902344,0.09430685,0.11040749,-7.9795613,-8.089393,-7.949109,-0.55107474,0.30757296,-0.47860342,-1.3152884,-0.057146374,-0.5763519,0.28466985,-0.55745983,-1.5472349,-0.037917096,0.15608558304849857,0.8996992044291501,8.696108622612618e-05,-2.3380678928183007,1.7305222540873342,0.15354758102263216,0.9006558341836823,5.59162088614824e-05,-2.3772009754801124,1.7486613589296376,-0.2510497779345492,0.26407484625099914,-0.13072218462631188,-1.2548175246798754,-0.00015259735682679465,-0.2605278355383727,0.2643193687933255,-0.15283366835448892,-1.5167426386063003,-8.519998335010381e-06,0.588,0.49219508327491446,1.0,False,True,0.574962962962963,0.49434861604318614,1.0,False,True,0.218,0.4128873938497033,0.0,False,True,0.1837777777777778,0.3873028610439633,0.0,False,True,0,20000
