train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,Loss,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,ee_pose_success_Average,ee_pose_success_Std,ee_pose_success_Median,ee_pose_success_Min,ee_pose_success_Max,eval_ee_pose_success_Average,eval_ee_pose_success_Std,eval_ee_pose_success_Median,eval_ee_pose_success_Min,eval_ee_pose_success_Max,euclidean_distance_Average,euclidean_distance_Std,euclidean_distance_Median,euclidean_distance_Min,euclidean_distance_Max,eval_euclidean_distance_Average,eval_euclidean_distance_Std,eval_euclidean_distance_Median,eval_euclidean_distance_Min,eval_euclidean_distance_Max,target_coord_Average,target_coord_Std,target_coord_Median,target_coord_Min,target_coord_Max,eval_target_coord_Average,eval_target_coord_Std,eval_target_coord_Median,eval_target_coord_Min,eval_target_coord_Max,reached_goal_Average,reached_goal_Std,reached_goal_Median,reached_goal_Min,reached_goal_Max,eval_reached_goal_Average,eval_reached_goal_Std,eval_reached_goal_Median,eval_reached_goal_Min,eval_reached_goal_Max,Initial_DataCollection_AverageReturn,step
500.0,0.0,500.0,500,500,450.1,149.70000000000002,500.0,1,500,6.9087076,0.0,6.9087076,6.9087076,6.9087076,102.209305,299.27072,1.5860815,0.11829298,1000.0,4001,42.93065905570984,-0.14566700160503387,0.013817416,0.009439467,0.011800337,0.006280625,0.13834865,0.22708131,14.90374,0.0014497255,7.151678e-05,1000.0,0.0,0.0,0.0,False,False,0.00022217285047767163,0.01490380789268911,0.0,False,True,0.4354174043835757,0.030377394263012912,0.4439627199436478,0.1977978291560864,0.5070285826237508,0.6359044734801719,0.157650433802234,0.6536381100708285,0.08580786594879898,0.9545578448396493,0.10806905266534857,0.3744861482781322,0.03853542543500713,-0.3118438219522307,0.5975155545132693,0.16859978263277942,0.41059844737646967,0.18972027657017096,-0.547961746433801,0.9470511410581144,0.01,0.09949874371066199,0.0,False,True,0.006887358364807821,0.08270382493913163,0.0,False,True,0,4000
500.0,0.0,500.0,500,500,377.45454545454544,203.25414616652793,500.0,1,500,11.139044,0.0,11.139044,11.139044,11.139044,278.2293,443.81274,6.552966,3.1488283,1008.2052,8001,125.40019583702087,-5.175315856933594,0.022278087,0.01770311,0.014766214,0.0064501893,0.16366675,0.73712003,26.870075,0.008935921,0.00015676608,1000.0,0.0,0.0,0.0,False,False,0.000722543352601156,0.026870453730906137,0.0,False,True,0.4029660036556202,0.06427473294488276,0.42154135916200264,0.18099229195724711,0.5043645795948699,0.4796683860217953,0.11319138094681487,0.47176760488371405,0.09336057033091752,0.8760755802131469,0.32954883036204635,0.3469346769583571,0.29191953879328697,-0.07529149246166711,0.7720184447545192,0.1651635509178325,0.39826320989167685,0.1098475508210449,-0.7352786166947429,0.9358301736066462,0.072,0.2584879107424562,0.0,False,True,0.05202312138728324,0.22207367297454966,0.0,False,True,0,8000
500.0,0.0,500.0,500,500,378.6666666666667,210.18735029069236,500.0,9,500,24.554382,0.0,24.554382,24.554382,24.554382,252.49835,432.61475,3.6313956,0.17921323,1002.699,12001,210.2070813179016,-166.4168701171875,0.049108766,0.02494071,0.0420135,0.0061851298,0.13258919,0.6668091,25.685932,0.0023947258,0.0002034248,1000.0,0.0,0.0,0.0,False,False,0.0006602112676056338,0.02568609329360462,0.0,False,True,0.3158762830827808,0.056882539960897205,0.3169764315225326,0.2020499701546047,0.5085607259722056,0.6031565207548374,0.13171854553182688,0.6034486531351784,0.05926842780153216,0.850021411331913,0.2763484539990086,0.34510948345395537,0.3362221121267216,-0.173066851451406,0.66589010132171,0.1877344009394256,0.45022960732166445,0.1196205207806224,-0.4665836329195222,1.0567823434390906,0.398,0.4894854441145313,0.0,False,True,0.020246478873239437,0.14084231951538892,0.0,False,True,0,12000
250.5,249.5,250.5,1,500,410.72727272727275,189.3765325334165,500.0,8,500,505.6827,494.3173,505.6827,11.365401,1000.0,187.04199,383.72598,4.690371,0.31621772,1001.1105,16001,290.29499673843384,-247.64051818847656,2.0186932,44.63108,0.021169348,0.012302521,1000.0,0.45539218,21.034903,0.0027390248,0.0003643989,1000.0,0.001996007984031936,0.04463209535927722,0.0,False,True,0.0004426737494466578,0.02103515603455816,0.0,False,True,0.3654089186953176,0.23854193682778296,0.4764643700846417,-0.19685328338655228,0.6392656333966129,0.14529922842222467,0.35282405867456923,0.12535969573701652,-0.6572913194891483,0.7633195579134667,0.3844337509761525,0.033458539621256896,0.3855201010680134,0.06399827329062217,0.4397951125059774,0.5560727129715161,0.16095460638915127,0.5900153315873624,0.06677383872325239,0.7917261407775084,0.015968063872255488,0.12535184405674718,0.0,False,True,0.021469676848162905,0.14494388508729286,0.0,False,True,0,16000
500.0,0.0,500.0,500,500,444.0,113.63890178983603,500.0,177,500,1.074203,0.0,1.074203,1.074203,1.074203,219.4478,396.09906,12.279261,0.71769726,1010.7472,20001,369.7050805091858,-270.8152770996094,0.002148406,0.0052888384,0.0012642655,0.0009099836,0.054042958,0.49425182,21.218233,0.016701562,0.00026599382,1000.0,0.0,0.0,0.0,False,False,0.00045045045045045046,0.021219037321286265,0.0,False,True,0.6544546159263103,0.055665416500551325,0.6673263960926299,0.2917976063867952,0.7002084024262937,0.42481106249449385,0.15342486612070375,0.4092253027420726,0.06273729049987918,0.8232037488262741,0.16277877480027536,0.49162855355827867,-0.060345601054157455,-0.29593053987928003,0.8446124653342636,0.15140648242471516,0.3644736011971879,0.07609332735273766,-0.35261753612569585,0.8054111530683022,0.006,0.07722693830523132,0.0,False,True,0.17027027027027028,0.37587006442700305,0.0,False,True,0,20000
500.0,0.0,500.0,500,500,381.1666666666667,206.15966034982586,500.0,2,500,7.8624525,0.0,7.8624525,7.8624525,7.8624525,258.8006,429.20532,11.093042,0.3603539,1004.2535,24001,452.15953612327576,-259.51312255859375,0.015724905,0.014644045,0.010219656,0.00025738793,0.104817756,0.6789696,25.601208,0.00826016,4.4615677e-05,1000.0,0.0,0.0,0.0,False,False,0.0006558810668998689,0.02560177507373172,0.0,False,True,0.4672486858257278,0.11345577562496363,0.4583465168659535,0.2255532070629187,0.826492610512204,0.5028756465982747,0.18909277098865207,0.47963113505618016,0.07271501184936896,1.0017425282308523,0.1674713835092596,0.606249506311146,0.09453433126163294,-0.5358694142206025,0.9437492334867486,0.16075404285844092,0.3097544000822789,0.20836287950693722,-0.2980208387296367,0.7783425453547497,0.02,0.13999999999999999,0.0,False,True,0.1274595540008745,0.33348705536313195,0.0,False,True,0,24000
500.0,0.0,500.0,500,500,455.3333333333333,126.33641157199649,500.0,98,500,1.647491,0.0,1.647491,1.647491,1.647491,121.988144,314.57193,5.884504,0.18682182,1011.11304,28001,530.5115215778351,-256.6490478515625,0.003294982,0.021373702,0.00077750423,0.0007410608,0.3229429,0.26790953,15.618952,0.0072219474,4.2290394e-05,1000.0,0.0,0.0,0.0,False,False,0.0002440214738897023,0.015619280630361408,0.0,False,True,0.69927324844188,0.07135948252840299,0.7159421465234903,0.11302797288476989,0.7207427889162441,0.5079631312230029,0.2198276258534718,0.4930630748353736,0.09985258524977919,1.0070950630224926,0.3255360605810534,0.2691419696243562,0.2113404438470456,0.06818892852291455,0.6970788093731999,0.13958375766326056,0.4169522546691024,0.16950503442911183,-0.6791445464504623,0.8502453701296189,0.016,0.12547509713086502,0.0,False,True,0.2642752562225476,0.4409465332339675,0.0,False,True,0,28000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,7.8546,0.0,7.8546,7.8546,7.8546,27.485111,34.544094,12.67178,1.1824714,116.329056,32001,609.7613129615784,-253.13214111328125,0.015709199,0.01137233,0.01250001,0.0089198705,0.0775899,0.05497022,0.071759164,0.025751796,0.0008162491,0.30204326,0.0,0.0,0.0,False,False,0.0,0.0,0.0,False,False,0.4271714991724114,0.03968187549115277,0.4382025811074783,0.2556318026950799,0.4719473819948807,0.37332441418019485,0.13979516109481085,0.3659250866132585,0.11971850562840282,0.7110790996517875,0.33845251412548943,0.3616863675598631,0.17854324700120844,-0.00236275669456798,0.8391770520698281,0.20031965407821364,0.41177566708104657,0.16245379529049625,-0.5749493534538967,1.0988566398367674,0.042,0.20058913230780973,0.0,False,True,0.3171111111111111,0.4653511086491443,0.0,False,True,0,32000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,45.59385,0.0,45.59385,45.59385,45.59385,13.699602,21.108313,7.6735425,0.39702967,72.5002,36001,688.5549685955048,-273.50946044921875,0.0911877,0.004404058,0.09200975,0.05669714,0.12250962,0.027399205,0.047253974,0.013954793,0.00027967122,0.33869776,0.0,0.0,0.0,False,False,0.0,0.0,0.0,False,False,0.23962619548085257,0.005635615371402187,0.23858606662242582,0.20995657401096476,0.2870031494352301,0.4616491938419361,0.15748631422355966,0.42719322406498383,0.10826471176735733,0.8181895833333286,0.22333028151066325,0.20489226209960337,0.18121557576319142,-0.0038884665038896316,0.492663735272688,0.20878747184077426,0.3868928937040042,0.16224800547611068,-0.4549092270507581,0.88277949677034,1.0,0.0,1.0,True,True,0.1111111111111111,0.3142696805273545,0.0,False,True,0,36000
255.5,244.5,255.5,11,500,500.0,0.0,500.0,500,500,508.55212,492.0457,508.55212,16.506432,1000.59784,15.225093,21.223457,2.165996,0.018503617,63.530937,40001,771.300585269928,-268.25439453125,1.9904193,44.192623,0.0220362,0.00064418104,1000.0,0.030450186,0.043617018,0.0043000206,7.487531e-06,0.17868389,0.0019569471624266144,0.04419408920014176,0.0,False,True,0.0,0.0,0.0,False,False,0.37038308670259346,0.07595079280684308,0.381506870607682,0.09749666455960707,0.7347530741312678,0.5691552490934055,0.2807877246901339,0.5449135454423109,0.17221369649733076,1.1802271432368667,0.051387411543706296,0.29623682106722093,0.15030617363665005,-0.35655665447850826,0.6071613204481813,0.19348822513351352,0.40749289656089643,0.18914878754719672,-0.48778766215651675,0.885171148333161,0.11350293542074363,0.3172065873710982,0.0,False,True,0.30644444444444446,0.46101653648603563,0.0,False,True,0,40000
