train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,Loss,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,ob_Average,ob_Std,ob_Median,ob_Min,ob_Max,eval_ob_Average,eval_ob_Std,eval_ob_Median,eval_ob_Min,eval_ob_Max,score_Average,score_Std,score_Median,score_Min,score_Max,eval_score_Average,eval_score_Std,eval_score_Median,eval_score_Min,eval_score_Max,success_Average,success_Std,success_Median,success_Min,success_Max,eval_success_Average,eval_success_Std,eval_success_Median,eval_success_Min,eval_success_Max,reached_goal_Average,reached_goal_Std,reached_goal_Median,reached_goal_Min,reached_goal_Max,eval_reached_goal_Average,eval_reached_goal_Std,eval_reached_goal_Median,eval_reached_goal_Min,eval_reached_goal_Max,Initial_DataCollection_AverageReturn,step
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-309.9035,0.0,-309.9035,-309.9035,-309.9035,-296.2921,21.623789,-293.7726,-328.56772,-264.3993,4001,22.178964614868164,3.7139878273010254,-0.619807,0.26475915,-0.62852997,-1.1441038,-0.13336383,-0.5925843,0.25688967,-0.5727042,-1.6810867,-0.0757145,-0.08947969386880289,0.8753083022282268,-0.00041309412323792423,-2.350892274488899,1.7788938622115382,-0.08665513728407463,0.8787548644412105,-0.0002582031272364446,-2.360786433315389,1.768772612717709,-0.3121533936202671,0.2323352094162281,-0.22900163856050207,-1.1053320109644607,-0.001116467978606761,-0.292884180354795,0.2307993255471336,-0.21760038920377628,-1.492716999120194,-2.4734177202834218e-05,0.43133333333333335,0.49526244445635975,0.0,False,True,0.44562962962962965,0.4970350720279091,0.0,False,True,0.11,0.31288975694324034,0.0,False,True,0.11533333333333333,0.31942378677167355,0.0,False,True,0,4000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-371.67746,0.0,-371.67746,-371.67746,-371.67746,-350.21057,13.143209,-346.19467,-371.60754,-330.57974,8001,86.58492255210876,8.567070960998535,-0.7433549,0.31788063,-0.7142384,-1.7498255,-0.18201388,-0.7004211,0.32511947,-0.6705808,-1.7999592,-0.023928009,-0.26372184991928466,0.7001173465828341,-0.05873644107112773,-2.3390068248677576,1.7236778856647827,-0.2414169397127188,0.7233936786141447,-0.03454426744573199,-2.3750415532771347,1.759891142278337,-0.35392198918034806,0.30432565231448766,-0.2565585804572411,-1.6748850768725823,-0.0004949076037787034,-0.3343617655317138,0.29490056377488266,-0.24670914154878107,-1.5849351779471375,-6.033340419078076e-05,0.4106666666666667,0.4919548308082313,0.0,False,True,0.4251111111111111,0.4943598429494326,0.0,False,True,0.066,0.24828209762284514,0.0,False,True,0.10444444444444445,0.30583623472233595,0.0,False,True,0,8000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-341.74902,0.0,-341.74902,-341.74902,-341.74902,-359.7388,16.634804,-358.32623,-386.0381,-329.73138,12001,150.80314421653748,1.0632386207580566,-0.683498,0.23507853,-0.6439078,-1.2296971,-0.14812714,-0.71947765,0.26011354,-0.6844673,-1.9877896,-0.021014687,-0.07782839251321662,0.6369001755180257,-0.007233785923682458,-2.325076420874221,1.7337462535633523,-0.08370861860239558,0.6493222558485774,-0.01192636638784357,-2.340577509040222,1.735784153657357,-0.35858927119206874,0.2134422112911556,-0.3505981510405512,-1.0589955525626897,-0.0004364125522124951,-0.3690946627415259,0.24263450607968856,-0.3631021994435911,-1.930339032594143,-6.606342953651041e-05,0.24533333333333332,0.4302846602993057,0.0,False,True,0.2717777777777778,0.4448759571880128,0.0,False,True,0.016,0.125475097130865,0.0,False,True,0.029333333333333333,0.168739114875268,0.0,False,True,0,12000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-265.14697,0.0,-265.14697,-265.14697,-265.14697,-255.86705,9.892978,-257.19244,-270.56952,-237.02188,16001,211.75679445266724,-12.241765022277832,-0.53029394,0.2071132,-0.5158222,-1.1585891,-0.17564362,-0.5117341,0.23990488,-0.48144716,-1.3940915,-0.05329827,-0.09501990722448524,0.726136066919051,-0.010492332236190734,-2.3412866652988997,1.7452352476242825,-0.09185705916903052,0.7342279596216077,-0.009778807211071983,-2.3622830822268863,1.756126475636916,-0.2606090326922559,0.20029677484306407,-0.20953683420999342,-1.1539872572074312,-0.0014188767945382263,-0.25447876721867824,0.2042447953517816,-0.2049267112756968,-1.3595885859415953,-1.1812843493136382e-05,0.4713333333333333,0.49917754579129686,0.0,False,True,0.4865185185185185,0.4998182166118642,0.0,False,True,0.198,0.39849215801568794,0.0,False,True,0.19955555555555557,0.39966628054224085,0.0,False,True,0,16000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-272.43982,0.0,-272.43982,-272.43982,-272.43982,-271.8115,18.189299,-264.25613,-305.73907,-252.38577,20001,272.77156472206116,-9.914836883544922,-0.5448796,0.24639657,-0.49675134,-1.1866635,-0.13492814,-0.5436229,0.23842795,-0.49885997,-1.4495229,-0.0479837,-0.27395381553368786,0.8612063778433641,-0.012316077478813015,-2.3477762850340334,1.6015150570480932,-0.27979929689909894,0.8528472386235623,-0.008974260116767954,-2.381862001640104,1.6498524400799066,-0.27495701600696915,0.2088069536037681,-0.23089260760619598,-1.0587080592367015,-0.000562976738297305,-0.2707666231024184,0.21010326041359678,-0.2294581104977954,-1.3195016688024082,-4.471829903970881e-06,0.43133333333333335,0.49526244445635975,0.0,False,True,0.4277037037037037,0.4947456372135465,0.0,False,True,0.13,0.33630343441600474,0.0,False,True,0.12466666666666666,0.3303405650066139,0.0,False,True,0,20000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-273.66574,0.0,-273.66574,-273.66574,-273.66574,-280.88123,17.446442,-281.48584,-308.84882,-254.90916,24001,336.5303530693054,-6.675755500793457,-0.54733145,0.26798344,-0.50114703,-1.515418,-0.12287646,-0.56176245,0.27309906,-0.51961213,-1.9154259,-0.025069803,-0.27346353683899455,0.7949333268606541,-0.04599691365436494,-2.336736883218265,1.6294345095611227,-0.27865458901852735,0.7760954915128249,-0.05646340048762789,-2.357859778684313,1.6323257072091457,-0.26654260678666464,0.22967512434760354,-0.20233078838226176,-1.5015221017936462,-0.00011780951205531132,-0.2744790983051388,0.23391156249963116,-0.19862772192356096,-1.8469665981491654,-7.200824531385097e-05,0.494,0.4999639987039066,0.0,False,True,0.5036296296296296,0.4999868256151873,1.0,False,True,0.154,0.3609487498246808,0.0,False,True,0.16444444444444445,0.3706783904354319,0.0,False,True,0,24000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-281.6669,0.0,-281.6669,-281.6669,-281.6669,-266.3004,21.842638,-265.73065,-301.8267,-223.57327,28001,401.8457148075104,-0.08071889728307724,-0.5633338,0.2714889,-0.53633106,-1.2764449,-0.09641444,-0.5326009,0.26672608,-0.48331508,-1.6345692,-0.060861144,-0.13607773279719157,0.800820748078093,-0.019898444973699504,-2.3412487064658603,1.793405687917367,-0.1379299326634308,0.7960116626366869,-0.020200210276585792,-2.358091427358033,1.787355875178963,-0.2684314253830119,0.24144350004088383,-0.17695100569136432,-1.170394883840059,-3.363266514816443e-05,-0.25330647431571673,0.2326040634762392,-0.17439326516751696,-1.5215744558366084,-1.7388354945968576e-05,0.5426666666666666,0.49817622941641404,1.0,False,True,0.5582222222222222,0.4965986033402693,1.0,False,True,0.198,0.39849215801568794,0.0,False,True,0.20022222222222222,0.40016657025620883,0.0,False,True,0,28000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-292.0171,0.0,-292.0171,-292.0171,-292.0171,-300.06348,21.97923,-301.40634,-335.38623,-265.64905,32001,462.588237285614,6.073818206787109,-0.5840342,0.30780068,-0.5491736,-1.5673499,-0.0819849,-0.600127,0.26009628,-0.57792306,-1.4548409,-0.039772805,-0.1351531467143209,0.9645426940946746,-0.0003076830725385159,-2.3635226252449044,1.6176461317748512,-0.11358509322771361,0.8794907420014453,-0.00017828015107028026,-2.37033428446984,1.755394683166665,-0.28249690301305097,0.2558799392333336,-0.20055445914774978,-1.5035089767165841,-0.00023288337955838356,-0.2903773752399652,0.24141619865994107,-0.22240313586097024,-1.3019598423595293,-4.421644034909716e-06,0.49733333333333335,0.49999288883832027,0.0,False,True,0.44851851851851854,0.49734259526454394,0.0,False,True,0.184,0.38748419322599476,0.0,False,True,0.12044444444444445,0.32548053743183103,0.0,False,True,0,32000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-302.2823,0.0,-302.2823,-302.2823,-302.2823,-287.6115,24.545929,-272.87952,-330.18045,-262.52548,36001,525.5863909721375,11.930429458618164,-0.60456455,0.22347455,-0.64401203,-1.1789298,-0.13510528,-0.575223,0.28939885,-0.51812685,-1.6888623,-0.033720598,-0.14315267228988285,0.8134649996544635,-0.0231256531608245,-2.344595658796182,1.730255762236758,-0.1584089673305012,0.8174962191998186,-0.028256352522721434,-2.347849828178057,1.743516078574405,-0.2958392212143742,0.22574077341700355,-0.22333422886902166,-1.0600438418909894,-0.0005592128238649484,-0.27819100998600355,0.24661880799663083,-0.19799467949579164,-1.6777941689003317,-4.074027500244881e-06,0.43666666666666665,0.49597266949791585,0.0,False,True,0.5068148148148148,0.4999535561420078,1.0,False,True,0.084,0.2773878151613729,0.0,False,True,0.17844444444444443,0.38288643837482417,0.0,False,True,0,36000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-252.57237,0.0,-252.57237,-252.57237,-252.57237,-269.82727,11.639212,-268.943,-292.23877,-250.24155,40001,585.1140820980072,17.43545913696289,-0.5051447,0.20361939,-0.4904546,-1.1087781,-0.13825698,-0.5396545,0.24735925,-0.49068087,-1.5752058,-0.045091707,-0.10628073135215936,0.8818971448126134,-0.0019442170291363472,-2.339720306641415,1.7254671911126611,-0.10873658337601219,0.8746406290134032,-0.0023312590480552803,-2.3678194074660843,1.763270314056498,-0.2552631348138943,0.18362485756007638,-0.20267620825248694,-1.0377132071805277,-5.744793261663883e-05,-0.26689856418206315,0.21502639295499512,-0.20124641184106773,-1.5577017800951234,-5.5111150757930494e-05,0.49,0.4998999899979995,0.0,False,True,0.49444444444444446,0.4999691348498117,0.0,False,True,0.192,0.3938730760029175,0.0,False,True,0.16444444444444445,0.3706783904354319,0.0,False,True,0,40000
