train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,Training Loss,Training Loss2,Q Predictions,Q Predictions2,Q Targets,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,ob_Average,ob_Std,ob_Median,ob_Min,ob_Max,eval_ob_Average,eval_ob_Std,eval_ob_Median,eval_ob_Min,eval_ob_Max,score_Average,score_Std,score_Median,score_Min,score_Max,eval_score_Average,eval_score_Std,eval_score_Median,eval_score_Min,eval_score_Max,success_Average,success_Std,success_Median,success_Min,success_Max,eval_success_Average,eval_success_Std,eval_success_Median,eval_success_Min,eval_success_Max,reached_goal_Average,reached_goal_Std,reached_goal_Median,reached_goal_Min,reached_goal_Max,eval_reached_goal_Average,eval_reached_goal_Std,eval_reached_goal_Median,eval_reached_goal_Min,eval_reached_goal_Max,Initial_DataCollection_AverageReturn,step
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-354.43195,0.0,-354.43195,-354.43195,-354.43195,-376.90494,105.07165,-411.1286,-509.6917,-164.99326,2001,13.658767700195312,0.0006517903,0.00062143215,-1.5127938,-1.520427,-1.5064102,-0.7088639,0.24621423,-0.6664313,-1.5158672,-0.3313837,-0.75380987,0.27193815,-0.80672497,-1.5621808,-0.08700346,-0.19353977102998213,0.7553745484738533,-5.2586263581802666e-05,-2.3241702025196838,1.7165857072947153,-0.18140622350179106,0.7606712359479205,-1.082344126218753e-05,-2.336491133650697,1.7243014870616216,-0.3487129789919701,0.2571038817551726,-0.23396580228568034,-1.398708360651349,-0.000534580926240813,-0.3730695002654393,0.27364038549668707,-0.31025163803921174,-1.3965847551790966,-0.0002189057885219614,0.16066666666666668,0.3672232139842045,0.0,False,True,0.3422962962962963,0.47447817846359847,0.0,False,True,0.0,0.0,0.0,False,False,0.09666666666666666,0.29550333707459586,0.0,False,True,0,2000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-565.3782,0.0,-565.3782,-565.3782,-565.3782,-562.4797,124.084694,-568.9933,-747.6022,-334.1673,4001,44.52321147918701,0.00014599814,0.000130092,-2.8225865,-2.8120248,-2.81959,-1.1307564,0.18006265,-1.2087735,-1.2878883,-0.5979257,-1.1249595,0.32271028,-1.1334382,-1.697529,-0.1288823,-0.12924643086517318,0.8210642999490785,4.604087265885884e-18,-2.3446857168962953,1.708385361627253,-0.16414345354727777,0.8571799588713429,-4.1093083662127e-16,-2.3674190978544734,1.7377752639376791,-0.5862227711766462,0.3055384673559734,-0.5545259420615809,-1.273342847404839,-0.00031187114655853443,-0.5741374476489447,0.35626490160508373,-0.5134527656132772,-1.511262198804182,-0.0004889554721194678,0.09666666666666666,0.29550333707459586,0.0,False,True,0.1468888888888889,0.35399511749440354,0.0,False,True,0.0,0.0,0.0,False,False,0.009333333333333334,0.0961572785712149,0.0,False,True,0,4000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-463.79044,0.0,-463.79044,-463.79044,-463.79044,-487.0865,154.83249,-469.97882,-701.55054,-249.3346,6001,75.41834664344788,0.00024531074,8.265202e-05,-3.9243689,-3.9101028,-3.9102852,-0.9275809,0.08189953,-0.9476515,-1.1126785,-0.6238788,-0.97417307,0.35287112,-0.990849,-1.6425595,-0.32882458,-0.33169154000641327,0.8490986656111064,-9.312069276993682e-06,-2.3718280523506743,1.5372521901166292,-0.28373431896341234,0.7979470459789647,-0.013143775913915329,-2.3882385081873805,1.5818309221463538,-0.5073576067646288,0.17783759660206852,-0.6399249996089815,-0.797741800904053,-0.010545483449476034,-0.4868145343327289,0.34764249056383023,-0.4228234964265438,-1.3460467719692022,-0.00015232364232266316,0.018,0.132951118836962,0.0,False,True,0.2228888888888889,0.416184372722914,0.0,False,True,0.0,0.0,0.0,False,False,0.0,0.0,0.0,False,False,0,6000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-511.83575,0.0,-511.83575,-511.83575,-511.83575,-400.58188,101.35678,-412.03723,-565.00586,-233.84303,8001,106.1847779750824,0.00038052644,0.00014408372,-4.609783,-4.6159124,-4.62435,-1.0236715,0.044982888,-1.0103374,-1.2931528,-0.8825798,-0.80116373,0.24374314,-0.83363426,-1.3461502,-0.051551357,-0.18542655819451334,0.9092324286804984,-4.724766264587315e-09,-2.3865058543025426,1.5670453295682412,-0.1949362990811793,0.9194678867862657,-3.285726074108025e-08,-2.379104667476792,1.5865280451921042,-0.46838947631831584,0.36136807466052084,-0.36089441166147973,-1.0959588560316198,-0.055618567979867806,-0.387873308709215,0.2886387681494539,-0.3360495857174087,-1.1849164470756386,-0.0004994188480916262,0.30533333333333335,0.4605484652985925,0.0,False,True,0.3402962962962963,0.4738087451950624,0.0,False,True,0.0,0.0,0.0,False,False,0.009777777777777778,0.09839803270140199,0.0,False,True,0,8000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-603.45667,0.0,-603.45667,-603.45667,-603.45667,-384.5914,167.2941,-335.69208,-636.18463,-167.42073,10001,137.03603792190552,0.00022467332,0.00024822395,-5.313459,-5.308056,-5.319242,-1.2069134,0.05289898,-1.2174443,-1.3129548,-0.89049923,-0.76918274,0.3549487,-0.68215024,-1.5276748,-0.20710552,-0.1930765200440179,0.9003482185625045,-3.849558432234142e-09,-2.3424694578003766,1.5757328530181616,-0.24183166379485496,0.9023372941710792,-4.161998373082148e-06,-2.4063969333028212,1.6443223219125795,-0.6315616139898196,0.2959886647237421,-0.6032222787213439,-1.159509723859928,-0.014855392614620891,-0.3651944747830029,0.3253355623793379,-0.22146282926172092,-1.2965102595342854,-0.0001889830989715291,0.005333333333333333,0.07283466817998756,0.0,False,True,0.4294074074074074,0.4949916018187139,0.0,False,True,0.0,0.0,0.0,False,False,0.10266666666666667,0.30352301761517564,0.0,False,True,0,10000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-224.85078,0.0,-224.85078,-224.85078,-224.85078,-338.4324,88.15408,-323.36063,-502.48297,-212.95023,12001,167.73179650306702,0.00035291628,0.00047894154,-5.866501,-5.8561454,-5.876986,-0.44970158,0.11250419,-0.43748498,-0.7131808,-0.18735836,-0.6768648,0.22770749,-0.6665139,-1.3827057,-0.11561773,-0.18837870253847697,0.8147948083106507,-0.02217647206550582,-2.347896267395938,1.6334508213102703,-0.18603452434090068,0.7875348331934691,-0.0508954336333194,-2.38836928880149,1.6725132438738364,-0.2258048217754902,0.14367235318688787,-0.2312465417470793,-0.6534034055231034,-0.0018342905809914933,-0.33590237734596773,0.2390993406457345,-0.2973536754988243,-1.2745441098656651,-9.693488137640927e-05,0.3973333333333333,0.48934604888111183,0.0,False,True,0.3480740740740741,0.47635964672876113,0.0,False,True,0.024,0.1530490117576719,0.0,False,True,0.03288888888888889,0.17834575934555666,0.0,False,True,0,12000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-265.65454,0.0,-265.65454,-265.65454,-265.65454,-337.20065,129.16652,-384.82257,-482.2896,-91.8297,14001,198.38514161109924,0.0006628529,0.0003546868,-6.7492466,-6.758713,-6.774243,-0.53130907,0.14513318,-0.5109029,-1.344319,-0.26516238,-0.6744013,0.2692228,-0.7759106,-1.2189767,-0.08229659,-0.18992666603137714,0.7531503513012423,-0.00032582976332365556,-2.346755206186584,1.6038969599724977,-0.17085479455814595,0.8418116489561701,-0.0015644183307676443,-2.395208470513397,1.7236548603649755,-0.26824272303570473,0.17077321741815712,-0.30078988945532986,-1.3140528875450217,-0.0006288891284136344,-0.3386696261925755,0.24712119467164184,-0.28356654309594753,-1.187144431977385,-5.964941681887992e-05,0.35533333333333333,0.47861420325305387,0.0,False,True,0.358,0.47941214002150595,0.0,False,True,0.026,0.15913516267626082,0.0,False,True,0.20266666666666666,0.4019861799725071,0.0,False,True,0,14000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-482.1717,0.0,-482.1717,-482.1717,-482.1717,-312.88895,86.62734,-329.79886,-434.91733,-109.09981,16001,229.12099313735962,0.00027016795,0.00027197326,-7.462284,-7.468192,-7.4719214,-0.96434337,0.015522964,-0.9607082,-1.0604455,-0.92639774,-0.6257779,0.18659168,-0.6529142,-1.5000973,-0.04028707,-0.1230663343927464,0.8642494353296521,-4.185491666191707e-08,-2.3642176949919036,1.6127728155882035,-0.12441850516195811,0.7435911170448115,-1.1058634286627347e-09,-2.388197118834472,1.603688961106308,-0.427645620142472,0.3566308986564106,-0.2394622749874229,-1.0233102918786368,-0.009088758783618617,-0.31723011536179047,0.20372335391137109,-0.3305540650915583,-1.253201539894715,-0.00016820210239160138,0.32866666666666666,0.46972852679913835,0.0,False,True,0.3622222222222222,0.48064257400964516,0.0,False,True,0.0,0.0,0.0,False,False,0.10755555555555556,0.309818266124984,0.0,False,True,0,16000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-113.66603,0.0,-113.66603,-113.66603,-113.66603,-344.10754,82.45484,-343.83228,-489.8028,-233.69583,18001,259.8860692977905,0.00035372406,0.0003022344,-7.7006135,-7.7099323,-7.7041116,-0.22733206,0.10588525,-0.21432814,-0.8912559,-0.07762842,-0.6882152,0.1887109,-0.6559933,-1.4723573,-0.1947526,-0.16360967208872224,0.7261815619866343,-1.07304226063237e-10,-2.335137084029428,1.3975112809347945,-0.11122025027130354,0.8031100354966443,-6.467108735885745e-11,-2.3931066212195664,1.7213765590151824,-0.10436292990066758,0.10036051293841046,-0.09420755531748687,-0.8286365393629854,-0.002647906726201188,-0.3429395135133191,0.22834865802539264,-0.3259855773182328,-1.383384881248977,-0.0002377841811342929,0.9773333333333334,0.14883846575697054,1.0,False,True,0.32637037037037037,0.4688845825090409,0.0,False,True,0.962,0.19119623427254004,1.0,False,True,0.0028888888888888888,0.05367069228057844,0.0,False,True,0,18000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-430.18854,0.0,-430.18854,-430.18854,-430.18854,-287.09262,127.63177,-261.89703,-597.92444,-103.49306,20001,290.7208151817322,0.0005380077,0.00066642463,-8.577524,-8.577105,-8.589102,-0.8603771,0.046396475,-0.84173125,-1.0330889,-0.8365296,-0.5741852,0.27727833,-0.54372466,-1.546159,-0.038327627,-0.14632803366958713,0.8058089515716484,-4.0277537253265794e-07,-2.3472180368115403,1.5500649024778705,-0.2574968750150953,0.716083699568161,-0.009324596403953465,-2.3719198899379683,1.7174213620006435,-0.3818816048968359,0.3188002189236032,-0.14845481423320211,-0.8627249641006344,-0.00724967785012931,-0.29110211631323335,0.2253520704059383,-0.2499160645625727,-1.294633263786555,-4.4580153872222916e-05,0.5846666666666667,0.492779418762143,1.0,False,True,0.41185185185185186,0.4921685727248867,0.0,False,True,0.0,0.0,0.0,False,False,0.13555555555555557,0.34231600446602006,0.0,False,True,0,20000
