train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,Loss,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,ee_pose_success_Average,ee_pose_success_Std,ee_pose_success_Median,ee_pose_success_Min,ee_pose_success_Max,eval_ee_pose_success_Average,eval_ee_pose_success_Std,eval_ee_pose_success_Median,eval_ee_pose_success_Min,eval_ee_pose_success_Max,euclidean_distance_Average,euclidean_distance_Std,euclidean_distance_Median,euclidean_distance_Min,euclidean_distance_Max,eval_euclidean_distance_Average,eval_euclidean_distance_Std,eval_euclidean_distance_Median,eval_euclidean_distance_Min,eval_euclidean_distance_Max,target_coord_Average,target_coord_Std,target_coord_Median,target_coord_Min,target_coord_Max,eval_target_coord_Average,eval_target_coord_Std,eval_target_coord_Median,eval_target_coord_Min,eval_target_coord_Max,reached_goal_Average,reached_goal_Std,reached_goal_Median,reached_goal_Min,reached_goal_Max,eval_reached_goal_Average,eval_reached_goal_Std,eval_reached_goal_Median,eval_reached_goal_Min,eval_reached_goal_Max,Initial_DataCollection_AverageReturn,step
272.0,228.0,272.0,44,500,240.33333333333334,236.40525468873238,121.5,1,500,531.8325,472.16443,531.8325,59.668106,1003.99695,574.99384,481.8998,1000.0,5.820557,1044.0465,4001,63.01156258583069,-13.059814453125,1.9552666,42.830208,0.11956553,0.03649801,1000.0,2.3924847,48.019707,0.07740262,0.00086358393,1000.0,0.001838235294117647,0.04283522131518766,0.0,False,True,0.002311604253351826,0.048023543591947805,0.0,False,True,0.21653808961323404,0.024523374543062512,0.2123890732259356,0.057649274791502475,0.33104975431057226,0.30013954558202455,0.11201535163978116,0.2558734656681503,0.03948992866254064,0.7054419456869319,0.13951650047248312,0.35446751343455773,-0.10764190359515328,-0.15271908495079528,0.6484522989382122,0.16876055551336513,0.36782607365752984,0.04012043975361029,-0.3220459252825031,0.7994383635529021,0.9816176470588235,0.13432960225327287,1.0,False,True,0.5522422561257513,0.49726325691216255,1.0,False,True,0,4000
500.0,0.0,500.0,500,500,342.75,223.3614876532359,500.0,1,500,5.164315,0.0,5.164315,5.164315,5.164315,343.2681,466.46524,11.141756,0.9273479,1007.37537,8001,218.88697457313538,-97.38941955566406,0.01032863,0.016741587,0.009353358,0.00080621423,0.32307565,1.0015115,31.16931,0.007496833,0.0003834684,1000.0,0.0,0.0,0.0,False,False,0.0009725261366399222,0.031170183341672444,0.0,False,True,0.4740596223859134,0.04881790576568445,0.46720197885999926,0.1129868784390265,0.7123161080040977,0.4551928813421806,0.14337223128321872,0.489327465417399,0.0625543241926623,0.7866253308653789,0.21627587465543244,0.30103038583398617,0.24783977852862127,-0.16717675842428895,0.568164603861965,0.13349492943373847,0.3483690301522927,0.027532288005309297,-0.33715243474370377,0.6762877957579139,0.006,0.07722693830523132,0.0,False,True,0.1699489423778264,0.375587938254791,0.0,False,True,0,8000
500.0,0.0,500.0,500,500,353.46153846153845,220.34086020199751,500.0,1,500,8.525223,0.0,8.525223,8.525223,8.525223,319.82135,454.95703,23.944859,3.148823,1006.188,12001,381.49730944633484,-152.1259002685547,0.017050445,0.004813181,0.016687952,0.000857114,0.046519496,0.9048266,29.49059,0.026893666,0.00051504245,1000.0,0.0,0.0,0.0,False,False,0.0008705114254624592,0.029491585839364395,0.0,False,True,0.41197143983511525,0.03787794456608779,0.4093068226163639,0.3067883781907762,0.7061939633622275,0.3842876083139339,0.10780869316120503,0.36158645002955553,0.0570906603312011,0.7571261203797561,0.24545145744492158,0.43495601434353115,0.36867277505983803,-0.3380715328745906,0.7057531301495171,0.14981809949048336,0.33856721646964544,0.23892330973134213,-0.3237360717282062,0.7894847755771467,0.0,0.0,0.0,False,False,0.25767138193688793,0.43735207884223254,0.0,False,True,0,12000
269.5,230.5,269.5,39,500,336.2307692307692,211.09463931033903,500.0,1,500,501.72934,500.40878,501.72934,1.3205544,1002.1381,397.30887,482.3986,34.318405,0.5960189,1019.2511,16001,536.7356135845184,-204.29257202148438,1.8617045,43.032803,0.0012422664,0.0010732987,1000.0,1.1816552,33.80105,0.008125867,0.00020310456,1000.0,0.0018552875695732839,0.04303307422910278,0.0,False,True,0.0011439029970258523,0.033802285173627655,0.0,False,True,0.6207993069449089,0.1070563961021541,0.6690817881141871,0.08415245622987357,0.6837018462643725,0.461613928908916,0.18821495265243154,0.48127028513032916,0.052920210606899644,0.8501789673689796,0.0826617176218741,0.2811723394915636,0.10747336539549607,-0.28113669392240936,0.4517099936393443,0.16595932366516658,0.3421891633703428,0.18774105265081498,-0.29028222968942385,0.7596052415835242,0.03339517625231911,0.1796661861770201,0.0,False,True,0.3397391901166781,0.4736206000751464,0.0,False,True,0,16000
167.33333333333334,235.23085587472477,1.0,1,500,450.6,148.2,500.0,6,500,670.24445,466.3448,1000.0,10.73335,1000.0,109.52513,297.17978,7.59585,3.1890287,1000.8335,20001,693.374835729599,-203.3892364501953,4.005445,62.992245,0.0049769673,0.004430293,1000.0,0.2430651,14.895235,0.01345106,0.0007478289,1000.0,0.00398406374501992,0.0629935788878163,0.0,False,True,0.00022192632046160674,0.014895538565956355,0.0,False,True,0.107589457492858,0.3879837589513021,-0.07867014457806669,-0.24708123801769927,0.6475903819183796,0.13608466053728996,0.3424248842825377,-0.02804180153154387,-0.32822356023205235,0.7711145928976503,0.4769899190744911,0.11024548238652669,0.5302934515838066,0.06966192723960368,0.5419289547948347,0.4195001333341726,0.08716395483767944,0.4308697400303881,0.08486872492441733,0.7198336293828509,0.12350597609561753,0.32901709676593754,0.0,False,True,0.015978695073235686,0.1253928880638461,0.0,False,True,0,20000
500.0,0.0,500.0,500,500,375.5833333333333,215.49650358081348,500.0,1,500,7.9017467,0.0,7.9017467,7.9017467,7.9017467,258.5728,428.29614,15.132643,1.7533734,1000.40424,24001,851.3960018157959,-233.84451293945312,0.015803494,0.030096138,0.007368897,0.0071399887,0.35497463,0.68845654,25.790667,0.018576562,0.00021335352,1000.0,0.0,0.0,0.0,False,False,0.0006656312402928778,0.025791242221824523,0.0,False,True,0.4532722021912524,0.06730864033106658,0.49104872154324625,0.10357089293397931,0.4942044114111243,0.4519405311805318,0.14158560749112684,0.39858545789846295,0.0781741174349827,0.8452560064303445,0.13526281602410783,0.37130501952955347,0.05605617560551662,-0.27468459213544605,0.624416864602253,0.14780532313451555,0.3660080273259756,-0.06899830424018985,-0.3016822871790371,0.787983485090701,0.03,0.17058722109231975,0.0,False,True,0.1036165964055913,0.3047625261657216,0.0,False,True,0,24000
500.0,0.0,500.0,500,500,286.8666666666667,234.52529832739913,500.0,1,500,119.223465,0.0,119.223465,119.223465,119.223465,496.32513,474.19705,93.30501,8.041834,1014.57227,28001,1010.6146109104156,-256.8684387207031,0.23844694,0.0089788465,0.23583764,0.1437444,0.29745334,1.7301594,40.29631,0.11008935,0.007069795,1000.0,0.0,0.0,0.0,False,False,0.0016267720195212642,0.04030044208588496,0.0,False,True,0.14343422544829848,0.0038868217339088637,0.14446116861844518,0.12124979241712547,0.19397186043307316,0.2502964367473398,0.08078764628153576,0.22064630053856474,0.043618794548419604,0.4951923773830022,0.14393286927312718,0.41120473361916626,-0.034168369526557996,-0.24643695413243183,0.7124039314783713,0.1624886103794318,0.3717855877950381,0.17121839677093081,-0.31254508084199667,0.7949828397677657,1.0,0.0,1.0,True,True,0.7638856611666279,0.42469325145409553,1.0,False,True,0,28000
204.0,212.50411760716543,101.0,11,500,244.88888888888889,236.3617493233833,163.0,1,500,688.07196,458.68536,1001.64667,39.510647,1023.05835,576.39996,477.63254,1000.0,3.2978377,1021.13074,32001,1169.222850561142,-296.68701171875,3.3729012,57.066753,0.075904995,0.004082971,1000.0,2.3537204,47.571777,0.06572211,0.0015975974,1000.0,0.0032679738562091504,0.05707270979272216,0.0,False,True,0.002268602540834846,0.04757579198864233,0.0,False,True,0.2429855188569487,0.058963623962560316,0.257827271783533,0.09623764863271562,0.5500930390039833,0.29316176287859935,0.130338309814195,0.2722319905284582,0.06420270934819175,0.6439254380154447,0.13044583360136447,0.37679073736938795,-0.13694788559389612,-0.2699458051770008,0.6711134209550388,0.13366112125058677,0.3501336715330186,0.03302849980030373,-0.3386470302373629,0.776941609524883,0.954248366013072,0.20894597860321282,1.0,False,True,0.7341197822141561,0.4418007781523207,1.0,False,True,0,32000
87.0,86.0,87.0,1,173,276.53333333333336,239.4120204909427,500.0,4,500,1004.50806,4.5080566,1004.50806,1000.0,1009.0161,491.9141,477.24185,66.7491,13.866835,1005.1293,36001,1317.3537137508392,-300.4744873046875,11.546069,106.58774,0.032188073,0.009364731,1000.0,1.77886,41.041523,0.08742756,0.0068075014,1000.0,0.011494252873563218,0.10659331604018049,0.0,False,True,0.0016875602700096432,0.041045248328457316,0.0,False,True,0.27928871253972937,0.41051484249491194,0.2859222700737173,-0.22686143752746785,0.7798028313059581,0.14474176423175578,0.3342993670243483,0.048663814181353654,-0.284746255776724,0.7998652196050474,0.32724417992627525,0.08781522464614999,0.34361642071951803,0.05867032710437086,0.46708046979208334,0.2567921349486357,0.06915205507064284,0.2436944731389067,0.06035884195858552,0.49897301535481375,0.3850574712643678,0.4866088933505617,0.0,False,True,0.8273866923818708,0.3779126270069026,1.0,False,True,0,36000
130.25,213.50805019951824,10.0,1,500,220.5,231.06092270221723,66.0,1,500,751.7788,431.50516,1000.5912,4.390544,1001.5421,623.40906,465.5158,1000.19037,25.917585,1017.9005,40001,1469.730920791626,-288.587890625,5.7718143,75.66271,0.008146857,0.0009923734,1000.0,2.827252,52.087532,0.09439697,0.0007246023,1000.0,0.005758157389635317,0.07566373644693673,0.0,False,True,0.0027210884353741495,0.05209303324918815,0.0,False,True,0.46752923283101305,0.06750051816375839,0.48101230843307574,0.04594106121996452,0.6915411014554881,0.24662347366018705,0.07647111081567824,0.236024628092768,0.053234133715153675,0.7229887557387086,0.07920735427707179,0.246307800962314,-0.08906546815014697,-0.19348043409600657,0.6657306265505797,0.11331520302007873,0.3512481571535765,-0.009655207012821493,-0.3381938755104449,0.776213737634879,0.044145873320537425,0.20541912079771074,0.0,False,True,0.8589569160997732,0.34806598854835036,1.0,False,True,0,40000
