train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,Loss,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,ee_pose_success_Average,ee_pose_success_Std,ee_pose_success_Median,ee_pose_success_Min,ee_pose_success_Max,eval_ee_pose_success_Average,eval_ee_pose_success_Std,eval_ee_pose_success_Median,eval_ee_pose_success_Min,eval_ee_pose_success_Max,euclidean_distance_Average,euclidean_distance_Std,euclidean_distance_Median,euclidean_distance_Min,euclidean_distance_Max,eval_euclidean_distance_Average,eval_euclidean_distance_Std,eval_euclidean_distance_Median,eval_euclidean_distance_Min,eval_euclidean_distance_Max,target_coord_Average,target_coord_Std,target_coord_Median,target_coord_Min,target_coord_Max,eval_target_coord_Average,eval_target_coord_Std,eval_target_coord_Median,eval_target_coord_Min,eval_target_coord_Max,reached_goal_Average,reached_goal_Std,reached_goal_Median,reached_goal_Min,reached_goal_Max,eval_reached_goal_Average,eval_reached_goal_Std,eval_reached_goal_Median,eval_reached_goal_Min,eval_reached_goal_Max,Initial_DataCollection_AverageReturn,step
500.0,0.0,500.0,500,500,349.6923076923077,225.54903427837002,500.0,1,500,33.956375,0.0,33.956375,33.956375,33.956375,319.2287,454.83514,21.773392,3.1509428,1003.6608,4001,41.03097367286682,0.21761494874954224,0.06791275,0.014509957,0.07059373,0.021658821,0.14240463,0.9128844,29.649004,0.02063242,0.00111993,1000.0,0.0,0.0,0.0,False,False,0.0008798944126704796,0.029649961188727227,0.0,False,True,0.2720636151567319,0.02754470854791866,0.2650813988169993,0.19490827965951507,0.38323424494630226,0.4077333753152265,0.1313166160216316,0.388089170081355,0.035309267508604726,0.6794489159427578,0.07367528910798642,0.26018614805577667,-0.048470866395566775,-0.16584352421837337,0.4353402579378993,0.17590072120258765,0.3484938331073637,0.20072886427505976,-0.29009365273255383,0.7919439336314777,0.914,0.28036404905051576,1.0,False,True,0.2179938407391113,0.4128831870383224,0.0,False,True,0,4000
168.0,234.76087124277475,3.0,1,500,371.1666666666667,202.28438452392268,500.0,1,500,669.6167,467.71057,1000.0,8.174174,1000.6759,365.72827,457.5215,66.829834,0.86789024,1038.604,8001,122.4968729019165,-0.9767235517501831,3.9858136,62.867874,0.010585468,0.0097928345,1000.0,0.9853478,29.951826,0.09051862,0.0007152245,1000.0,0.003968253968253968,0.06286896634029705,0.0,False,True,0.000898069151324652,0.02995434230832136,0.0,False,True,0.4406528505969841,0.05768432083436451,0.454827319824504,0.09146204213471906,0.46261043689222303,0.34563638619215614,0.19244594648471763,0.24022002170329257,0.047448285785276684,0.7242914098419821,0.16488713833252294,0.4296384503950327,0.11888514217896873,-0.3378957346429572,0.7123973973648476,0.15090965487725702,0.3434384554463924,0.07731485849761888,-0.3121529402231832,0.7535832222148409,0.037698412698412696,0.19046585620113873,0.0,False,True,0.590929501571621,0.4916623086468359,1.0,False,True,0,8000
500.0,0.0,500.0,500,500,412.0,186.70005112722677,500.0,9,500,96.97122,0.0,96.97122,96.97122,96.97122,211.33163,373.12326,55.24135,3.8201523,1001.57007,12001,204.43189597129822,-4.016195774078369,0.19394244,0.017319554,0.19601813,0.014814893,0.20286183,0.5129408,21.001217,0.09487928,0.0011919265,1000.0,0.0,0.0,0.0,False,False,0.000441306266548985,0.02100265495903053,0.0,False,True,0.1651485470372095,0.019917597272054284,0.1629548087544965,0.15952301445933292,0.4212122359721784,0.3142316043024151,0.12276074104840286,0.23551499342353677,0.07867832530870414,0.6732184358860257,0.17546042314160112,0.4353374384099872,0.05532222183773555,-0.2873979447550766,0.7584569923421444,0.16958624082619494,0.37468465992925526,0.08937906185738875,-0.31288688574318546,0.768581345641752,0.994,0.07722693830523132,1.0,False,True,0.5708296557811121,0.49495773542993465,1.0,False,True,0,12000
500.0,0.0,500.0,500,500,401.09090909090907,190.13701019167232,500.0,1,500,79.15265,0.0,79.15265,79.15265,79.15265,312.82437,434.1751,54.948025,10.274188,1062.1777,16001,280.24024748802185,-4.7217512130737305,0.1583053,0.065017805,0.18610054,0.0012272715,0.20726931,0.77993387,26.064722,0.0886516,0.0021797668,1000.0,0.0,0.0,0.0,False,False,0.0006799637352674524,0.026067247353454365,0.0,False,True,0.2206328024892901,0.12950999096583016,0.16814682167221456,0.1573736284817656,0.6702961843206222,0.25810446549598953,0.08765805093829857,0.24230412403647444,0.07765107408437495,0.6128537370257048,0.14158382415033932,0.45519919311504226,-0.13367952729286475,-0.22475079228763314,0.7831817920315158,0.14964485378118514,0.35337189591058243,0.021617144248085196,-0.31613956751048433,0.7698316301267631,0.844,0.3628553430776512,1.0,False,True,0.8168631006346329,0.3867787163950552,1.0,False,True,0,16000
500.0,0.0,500.0,500,500,327.15384615384613,221.6562987891375,500.0,5,500,3.0727267,0.0,3.0727267,3.0727267,3.0727267,401.96436,476.59506,72.368256,1.5136122,1009.06226,20001,356.8653905391693,-6.746903419494629,0.0061454535,0.0032427604,0.005271877,0.0019526453,0.04132773,1.2286708,34.2657,0.030791737,0.0009438723,1000.0,0.0,0.0,0.0,False,False,0.0011756407241946861,0.034267456764141405,0.0,False,True,0.5166068032214193,0.03438930705400513,0.5245368816920393,0.31862216039559393,0.6238570277477287,0.3986595268187199,0.16101644358599046,0.34805089131538,0.08067229984124773,0.6965519623505525,0.3111042549574188,0.405155889238339,0.39846960331603315,-0.2229888736438933,0.7578320352001164,0.1502975405919789,0.4114166696336378,0.05116130788115103,-0.3396819749296516,0.777790236363943,0.0,0.0,0.0,False,False,0.26545967552316013,0.4415776672277468,0.0,False,True,0,20000
273.0,227.0,273.0,46,500,500.0,0.0,500.0,500,500,502.573,498.88626,502.573,3.6867242,1001.4593,5.4307213,3.9006982,5.7887154,0.7957077,12.92034,24001,435.4908163547516,-12.997028350830078,1.840927,42.756443,0.005687752,0.004449124,1000.0,0.0108614415,0.011268755,0.009943272,0.00028466334,0.24555397,0.0018315018315018315,0.04275684076896979,0.0,False,True,0.0,0.0,0.0,False,False,0.5004968159897946,0.057239253304699235,0.5169440200948561,0.08563836929743608,0.541504804286587,0.5023136909608344,0.11161599432820685,0.46108593493320993,0.14042385375254754,0.8164203295791519,0.12506637837751847,0.33214493336034656,-0.07905879259676507,-0.29585046942817994,0.597395400061279,0.1752946892783275,0.34416017746217115,0.20486429072793122,-0.3022116826249632,0.7333006987612798,0.02197802197802198,0.14661169301237728,0.0,False,True,0.004666666666666667,0.068153421696118,0.0,False,True,0,24000
500.0,0.0,500.0,500,500,410.8,175.43078407166743,500.0,3,500,16.383234,0.0,16.383234,16.383234,16.383234,327.02933,457.06195,28.999332,1.6171772,1053.5294,28001,512.3787257671356,-22.608112335205078,0.03276647,0.043683887,0.023484174,0.002520737,0.23479114,0.7960793,27.012184,0.029717375,0.0009870232,1000.0,0.0,0.0,0.0,False,False,0.0007302823758519961,0.027013867984861335,0.0,False,True,0.41426691606175675,0.12129351617168804,0.3751428632727076,0.14490589348230198,0.5983203987709669,0.364216626307042,0.16714817245172026,0.35160234336907426,0.06290189543219868,0.692081696509838,0.2020220382836688,0.40432094773055766,0.25692204135223096,-0.31833022070933853,0.667474294208114,0.194300849074717,0.34447482732519613,0.2343921273052031,-0.3176515697125283,0.7742685422791551,0.152,0.35902089075707,0.0,False,True,0.4498539435248296,0.4974790176680711,0.0,False,True,0,28000
500.0,0.0,500.0,500,500,381.5833333333333,205.3904648603619,500.0,1,500,17.864109,0.0,17.864109,17.864109,17.864109,265.94284,425.74774,27.235935,2.8765295,1007.758,32001,591.3513720035553,-28.876571655273438,0.03572822,0.008985364,0.03434273,0.012378745,0.10824282,0.6969458,25.586754,0.03844574,0.0015904129,1000.0,0.0,0.0,0.0,False,False,0.0006551648831622625,0.02558780260472035,0.0,False,True,0.3363598084584032,0.026062832466003303,0.3371364946271552,0.2223378299725077,0.4391774420448378,0.3546693948113271,0.10119871111980107,0.32585073606124876,0.017531748450054518,0.6443761563149514,0.15899846144413782,0.4339803572807809,0.09491187370141946,-0.3375678432654904,0.7196513538964843,0.1581504924450791,0.3657730454053762,0.15797878220335948,-0.3359654741507607,0.7987518595816132,0.068,0.25174590364095295,0.0,False,True,0.3603406857392444,0.48009923551305045,0.0,False,True,0,32000
500.0,0.0,500.0,500,500,206.9,239.65493944419342,23.5,1,500,28.086683,0.0,28.086683,28.086683,28.086683,611.38904,478.295,1000.18176,1.8528432,1008.93243,36001,670.0143342018127,-34.83900451660156,0.056173366,0.028783739,0.06531297,0.0014947772,0.21480884,2.9549978,53.77012,0.041605532,0.0003071789,1000.0,0.0,0.0,0.0,False,False,0.0028999516674722086,0.05377305968418138,0.0,False,True,0.3034404495130386,0.062185237412166694,0.2728567676929762,0.15380068114935486,0.6505778109530173,0.36787100909046433,0.14897003076758294,0.3179522087599017,0.061317218269060315,0.8088080191544214,0.2506117763674214,0.2896009605900022,0.3362650779505902,-0.13905879971031385,0.5546290508619879,0.18151813498409286,0.35133088145636104,0.31794042218690705,-0.3367547146773295,0.7973091810686364,0.57,0.4950757517794625,1.0,False,True,0.4770420492991784,0.49947265440624344,0.0,False,True,0,36000
174.0,230.66136795455512,21.0,1,500,186.04347826086956,212.43095620252498,79.0,1,500,669.01624,470.6774,1000.0,3.3812175,1003.6674,708.37885,446.50085,1001.6883,2.2495284,1013.54834,40001,746.9548087120056,-46.14383316040039,3.8449204,61.77893,0.002169813,0.002124069,1000.0,3.8075984,61.03033,0.07443241,0.0007261138,1000.0,0.0038314176245210726,0.06177975286052526,0.0,False,True,0.0037391913998597805,0.061034497192448425,0.0,False,True,0.5471402105405115,0.11630184383091276,0.6133114361964487,0.057371326539230896,0.6154421701710945,0.33329664594571357,0.1493772935714146,0.25978637847185226,0.051792730697072076,0.7227803820010767,0.10228369588455043,0.3989286122870788,-0.16760469867086158,-0.33480670722973854,0.6686084853209131,0.1351823135748674,0.4056104374675288,-0.08347503924521268,-0.33856679290750963,0.7841995650351671,0.06130268199233716,0.23988468724135673,0.0,False,True,0.6522551998130405,0.4762545056268666,1.0,False,True,0,40000
